French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,aucune,any
27,place,square
28,parle,speak
29,compris,understood
30,savais,knew
31,étaient,were
32,attention,Warning
33,voici,here is
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
46,dont,whose
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
51,première,first
52,côté,side
53,pouvoir,power
54,vieux,old
55,sois,be
56,tiens,here
57,matin,morning
58,tellement,so much
59,enfant,child
60,point,point
61,suite,after
62,pardon,sorry
63,venez,come
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,demandé,request
68,chambre,bedroom
69,mis,placed
70,belle,beautiful
71,droit,law
72,aimerais,would like to
73,aujourd'hui,today
74,mari,husband
75,cause,cause
76,enfin,finally
77,espère,hope
78,eau,water
79,attendez,Wait
80,parti,left
81,nouvelle,new
82,boulot,job
83,arrêter,Stop
84,dirait,would say
85,terre,Earth
86,compte,account
87,donne,given
88,loin,far
89,fin,end
90,croire,believe
91,chérie,sweetheart
92,gros,large
93,plutôt,rather
94,aura,will have
95,jouer,to play
96,bureau,office
97,je,I
98,de,of
99,est,East
100,pas,not
101,le,THE
102,vous,YOU
103,la,there
104,tu,you
105,que,that
106,un,A
107,il,he
108,et,And
109,à,has
110,a,has
111,ne,born
112,les,THE
113,ce,This
114,en,in
115,on,we
116,ça,That
117,une,a
118,ai,have
119,pour,For
120,des,of the
121,moi,Me
122,qui,Who
123,nous,We
124,y,Y
125,mais,but
126,me,me
127,dans,In
128,du,of
129,bien,GOOD
130,elle,She
131,si,if
132,tout,All
133,plus,more
134,non,No
135,mon,My
136,suis,am
137,te,you
138,au,At
139,avec,with
140,oui,Yes
141,toi,You
142,fait,do
143,ils,they
144,as,AS
145,être,be
146,faire,TO DO
147,se,se
148,comme,as
149,était,was
150,sur,on
151,quoi,What
152,ici,here
153,sais,know
154,lui,him
155,veux,want
156,ma,my
157,là,there
158,rien,Nothing
159,dit,said
160,es,es
161,où,Or
162,votre,your
163,pourquoi,Why
164,sont,are
165,cette,this
166,quand,When
167,par,by
168,son,her
169,ton,your
170,peux,can
171,vais,go
172,dire,say
173,alors,SO
174,comment,how
175,avez,have
176,bon,Good
177,ou,Or
178,très,very
179,merci,THANKS
180,ont,have
181,même,even
182,jamais,Never
183,aussi,Also
184,voir,see
185,allez,Go on
186,tous,all
187,deux,two
188,ces,these
189,faut,must
190,sa,her
191,êtes,are
192,été,summer
193,ta,your
194,fais,do
195,avoir,to have
196,peut,can
197,autre,other
198,m,M
199,encore,Again
200,maintenant,NOW
201,peu,little
202,mes,my
203,vraiment,Really
204,temps,time
205,notre,OUR
206,toujours,always
207,vie,life
208,sans,without
209,juste,just
210,oh,Oh
211,avait,had
212,accord,agreement
213,vu,seen
214,monde,world
215,quelque,some
216,fois,times
217,aller,go
218,trop,too much
219,viens,come
220,crois,believe
221,dieu,God
222,dois,must
223,homme,man
224,père,father
225,sûr,on
226,aux,to
227,leur,their
228,avant,Before
229,étais,is
230,besoin,need
231,femme,women
232,aime,love
233,personne,person
234,avais,had
235,chez,at the house of
236,vrai,TRUE
237,ans,years
238,mal,wrong
239,ses,his
240,parler,talk
241,vos,your
242,après,After
243,mort,dead
244,veut,wanna
245,eu,eu
246,sera,will be
247,bonne,Good
248,parce,because
249,mieux,better
250,petit,little
251,voilà,There
252,tes,your
253,ca,That
254,dis,say
255,beaucoup,a lot
256,depuis,Since
257,doit,must
258,vois,see
259,mère,mother
260,vas,go
261,monsieur,Sir
262,déjà,Already
263,fille,girl
264,gens,people
265,donc,SO
266,jour,day
267,soir,evening
268,autres,others
269,toute,all
270,bonjour,Good morning
271,maison,House
272,nom,name
273,argent,money
274,nos,our
275,ouais,Yeah
276,pense,think
277,merde,shit
278,nuit,night
279,papa,dad
280,cela,that
281,salut,Hi
282,cet,this
283,avons,have
284,reste,stay
285,désolé,Sorry
286,maman,Mom
287,peur,fear
288,arrive,arrived
289,seul,alone
290,vite,quickly
291,prendre,take
292,regarde,look at
293,air,air
294,soit,either
295,trois,three
296,quelle,what
297,passé,pass
298,savoir,know
299,plaît,jail
300,choses,things
301,moins,less
302,fils,son
303,entre,between
304,bas,down
305,appelle,call
306,passe,pass
307,ah,ah
308,tête,head
309,demain,tomorrow
310,grand,big
311,arrête,stopped
312,faites,do
313,voulez,want
314,hé,Hey
315,attends,hold on
316,hein,eh
317,enfants,children
318,assez,enough
319,raison,reason
320,aurais,would have
321,voulais,wanted
322,elles,they
323,parle,speak
324,ok,OK
325,jours,days
326,dû,of
327,moment,moment
328,heure,hour
329,puis,Then
330,gars,guys
331,hommes,men
332,amour,love
333,tard,late
334,toutes,all
335,sommes,are
336,tuer,kill
337,eh,eh
338,ami,friend
339,connais,know
340,petite,small
341,aider,help
342,chance,chance
343,savez,know
344,partir,leave
345,sait,knows
346,combien,How much
347,voiture,car
348,tant,so much
349,pris,taken
350,part,go
351,problème,issue
352,prends,take
353,porte,door
354,coup,cut
355,venir,come
356,famille,family
357,travail,work
358,pu,could
359,seule,alone
360,ni,neither
361,allons,let's go
362,revoir,goodbye
363,idée,idea
364,putain,whore
365,passer,pass
366,contre,against
367,comprends,understand
368,entendu,heard
369,trouvé,find
370,trouver,find
371,vieux,old
372,vient,come
373,pendant,during
374,aurait,would have
375,quelques,a few
376,attention,attention
377,demande,request
378,sous,below
379,voici,here is
380,pourrait,could
381,sang,blood
382,pouvez,can
383,question,question
384,histoire,history
385,amis,friends
386,venez,come
387,frère,brother
388,rester,stay
389,fini,finished
390,ville,city
391,nouveau,new
392,truc,thing
393,tiens,hold
394,mois,month
395,eux,them
396,mec,dude
397,yeux,eyes
398,laisse,leave alone
399,super,great
400,belle,beautiful
401,longtemps,a long time
402,police,police
403,eau,water
404,heures,hours
405,car,because
406,importe,imported
407,cas,case
408,vont,are going
409,chaque,each
410,terre,earth
411,place,place
412,tué,kill
413,type,kind
414,main,hand
415,pardon,pardon
416,ensemble,together
417,seulement,only
418,guerre,war
419,beau,beautiful
420,vers,towards
421,prie,pray
422,devant,in front
423,trouve,find
424,partie,part
425,suite,following
426,compris,Understood
427,matin,Morning
428,leurs,their
429,aucun,none
430,arrivé,arrived
431,dessus,above
432,chérie,Dear
433,mettre,put
434,aide,help
435,étaient,were
436,perdu,lost
437,fin,END
438,sois,be
439,premier,first
440,genre,gender
441,aimerais,would like to
442,droit,right
443,donne,given
444,attendez,wait
445,jeune,young
446,feu,fire
447,devrais,should
448,enfant,child
449,chambre,bedroom
450,gros,fat
451,côté,side
452,venu,came
453,loin,far
454,laisser,to leave
455,donner,give
456,jouer,play
457,savais,knew
458,compte,account
459,s,s
460,parlé,speak
461,minutes,minutes
462,regardez,look
463,train,train
464,première,first
465,pouvoir,power
466,aura,will have
467,mourir,die
468,dernière,last
469,donné,given
470,mari,husband
471,écoute,listen
472,enfin,Finally
473,devrait,should
474,mis,put
475,film,movie
476,aucune,none
477,fort,strong
478,façon,way
479,pays,country
480,prêt,ready
481,madame,Mrs
482,femmes,women
483,affaire,affair
484,pourrais,could
485,espère,hope
486,parti,left
487,h,h
488,boulot,job
489,endroit,place
490,fou,mad
491,corps,body
492,hier,yesterday
493,dont,of which
494,désolée,Sorry
495,grande,big
496,point,point
497,cinq,five
498,dehors,out
499,filles,girls
500,cause,cause
501,vivre,live
502,près,close
503,pensais,thought
504,garçon,boy
505,chef,chief
506,haut,high
507,capitaine,captain
508,dirait,would say
509,bébé,baby
510,celui,the one
511,demandé,request
512,possible,possible
513,mains,hands
514,ainsi,Thus
515,quatre,four
516,nouvelle,new
517,années,years
518,semaine,week
519,dites,say
520,croire,believe
521,marche,walk
522,tour,round
523,école,school
524,manger,eat
525,plutôt,instead
526,docteur,doctor
527,ceux,those
528,vérité,truth
529,vue,view
530,arrêter,Stop
531,essaie,try
532,envie,envy
533,bientôt,Soon
534,dernier,last
535,affaires,business
536,arriver,arrive
537,demander,ask
538,meilleur,best
539,font,make
540,c,vs
541,dollars,dollars
542,presque,almost
543,dr,DR
544,tellement,such
545,tomber,to fall
546,journée,daytime
547,voulait,wanted to
548,appeler,to call
549,bureau,desk
550,confiance,trust
551,garde,guard
552,attendre,to wait for
553,numéro,number
554,serai,will be
555,dur,hard
556,á,has
557,souviens,remember
558,o,o
559,voyez,see
560,cours,course
561,bonsoir,Good evening
562,route,road
563,fera,will
564,prend,takes
565,cul,ass
566,abord,on board
567,important,important
568,peine,penalty
569,croyais,believed
570,mot,word
571,devez,have to
572,suffit,enough
573,minute,minute
574,ferme,farm
575,ben,ben
576,plaisir,pleasure
577,chien,dog
578,jeu,game
579,seigneur,lord
580,messieurs,gentlemen
581,calme,calm
582,voudrais,would like
583,heureux,happy
584,prenez,take
585,mariage,marriage
586,voit,sees
587,parents,parents
588,lls,lls
589,dedans,inside
590,entrer,enter
591,lit,bed
592,parfait,Perfect
593,mlle,Miss
594,rentrer,to return
595,ait,has
596,musique,music
597,arrêtez,Stop
598,autant,as much
599,service,service
600,reviens,come back
601,ceci,this
602,drôle,funny
603,attend,waits
604,parfois,Sometimes
605,téléphone,phone
606,retour,back
607,ira,will go
608,e,e
609,pauvre,poor
610,verre,glass
611,général,general
612,new,new
613,six,six
614,pensé,think
615,l,L
616,impossible,impossible
617,fête,party
618,adore,adore
619,coeur,heart
620,ci,this
621,ferai,will do
622,président,president
623,doute,doubt
624,facile,easy
625,entends,hear
626,payer,pay
627,appelé,called
628,prison,prison
629,john,john
630,sors,go outside
631,café,coffee
632,vaut,worth
633,mauvais,bad
634,chéri,Dear
635,oublié,forget
636,bras,arm
637,i,I
638,gentil,kind
639,faute,mistake
640,équipe,team
641,exactement,Exactly
642,cœur,heart
643,penser,think
644,changer,to change
645,commence,begin
646,lieu,place
647,entendre,hear
648,ies,ies
649,roi,king
650,plan,plan
651,partout,everywhere
652,joue,plays
653,cher,Dear
654,morts,dead
655,rendre,give back
656,écrit,writing
657,travailler,to work
658,malade,sick
659,sinon,Otherwise
660,génial,awesome
661,regarder,look
662,veulent,want
663,montrer,to show
664,rentre,go home
665,travaille,work
666,armée,army
667,voulu,desired
668,cherche,look for
669,état,state
670,boire,drink
671,sécurité,security
672,dès,of the
673,esprit,spirit
674,année,year
675,dix,ten
676,york,york
677,laissé,leave alone
678,bois,drink
679,mets,put
680,propre,own
681,soyez,be
682,jack,jack
683,essayer,to try
684,faisait,did
685,tôt,early
686,surtout,Above all
687,arme,armed
688,t,t
689,rêve,dream
690,perdre,lose
691,avis,notice
692,semble,seems
693,pire,worse
694,simple,simple
695,penses,thinking
696,parles,talk
697,paix,peace
698,livre,book
699,dormir,sleep
700,voyons,let's see
701,difficile,difficult
702,retard,delay
703,allait,was going to
704,d,d
705,sujet,subject
706,appris,learned
707,sauf,except
708,maître,master
709,morte,dead
710,noir,black
711,or,gold
712,dîner,dinner
713,choix,choice
714,serais,would be
715,écoute,listen
716,sale,dirty
717,étiez,have been
718,sûrement,certainly
719,an,year
720,ordre,order
721,souvent,often
722,essayé,try
723,peuvent,can
724,visage,face
725,bout,end
726,changé,exchange
727,sérieux,serious
728,inquiète,worry
729,âge,age
730,photo,photo
731,rue,Street
732,tirer,to pull
733,comprendre,to understand
734,face,face
735,semaines,weeks
736,marché,walk
737,questions,questions
738,honneur,honor
739,ciel,sky
740,allé,go
741,garder,keep
742,chemin,path
743,grave,severe
744,gauche,LEFT
745,petits,small
746,courant,fluent
747,amie,friend
748,nouvelles,news
749,avion,plane
750,con,stupid
751,content,thrilled
752,force,strength
753,millions,millions
754,oublie,forget
755,devoir,duty
756,prochaine,next
757,prix,price
758,propos,about
759,bateau,boat
760,bouge,move
761,voix,voice
762,rouge,red
763,restez,Stay
764,celle,that
765,pouvais,could
766,personnes,people
767,ferais,would do
768,espèce,species
769,gueule,mouth
770,acheter,buy
771,continue,keep on going
772,sort,spell
773,faim,hunger
774,long,long
775,j,J
776,voyage,journey
777,message,message
778,sorte,sort
779,reçu,received
780,bienvenue,Welcome
781,idiot,silly
782,certains,some
783,hôpital,hospital
784,promis,promised
785,devenir,become
786,ouvre,open
787,grâce,grace
788,sûre,safe
789,problèmes,problems
790,armes,weapons
791,trucs,stuff
792,camp,camp
793,allais,alla
794,occupe,busy
795,devait,was to
796,manque,lack
797,connaissez,know
798,thé,tea
799,avaient,had
800,cheveux,hair
801,soleil,sun
802,salle,room
803,gagner,earn
804,laissez,leave
805,erreur,error
806,cru,believed
807,pars,pars
808,bizarre,weird
809,croyez,believe
810,sac,bag
811,hôtel,hotel
812,oncle,uncle
813,pièce,piece
814,pouvait,could
815,fond,bottom
816,soirée,evening
817,secret,secret
818,patron,boss
819,rapport,report
820,apprendre,learn
821,commencé,begin
822,sauver,save
823,seconde,second
824,allô,Hello
825,ailleurs,elsewhere
826,agent,agent
827,froid,cold
828,seras,will be
829,pied,foot
830,jolie,pretty
831,revenir,to come back
832,scène,scene
833,pieds,feet
834,n,not
835,devons,owe
836,groupe,band
837,carte,map
838,aurai,will have
839,effet,effect
840,neuf,nine
841,fallait,had to
842,monte,mounted
843,battre,beat
844,noël,Christmas
845,venue,coming
846,mots,words
847,tire,drawn
848,droite,RIGHT
849,libre,free
850,soeur,sister
851,situation,situation
852,seront,will be
853,faux,fake
854,foutre,cum
855,lumière,light
856,euh,uh
857,incroyable,amazing
858,tue,kill
859,joli,pretty
860,connaît,know
861,colonel,colonel
862,cheval,horse
863,écoutez,Listen
864,george,George
865,joe,joe
866,vieille,old
867,entrez,Come in
868,intérieur,interior
869,coin,corner
870,auras,aura
871,gagné,won
872,fric,money
873,loi,law
874,absolument,absolutely
875,dame,lady
876,cool,cool
877,magnifique,Magnificent
878,dos,back
879,occuper,to occupy
880,présent,here
881,retrouver,find
882,réussi,successful
883,frank,Frank
884,rencontrer,meet
885,aviez,had
886,meilleure,best
887,âme,soul
888,prêts,loans
889,doucement,gently
890,table,table
891,lettre,letter
892,rappelle,remember
893,sam,sat
894,fut,was
895,risque,risk
896,ordres,orders
897,appel,call
898,commencer,to start
899,terminé,finished
900,agit,act
901,blanc,white
902,sœur,sister
903,pareil,The same
904,charlie,charlie
905,chaud,hot
906,finir,finish
907,touche,touch
908,avance,advance
909,ignore,ignore
910,meurtre,murder
911,tranquille,calm
912,anniversaire,birthday
913,déjeuner,lunch
914,disais,said
915,bord,edge
916,tom,Tom
917,jeunes,youth
918,accident,accident
919,fasse,do
920,complètement,completely
921,déteste,hated
922,clair,clear
923,marcher,to walk
924,disait,said
925,mauvaise,bad
926,envoyé,sent
927,â,has
928,professeur,teacher
929,heureuse,happy
930,doivent,must
931,midi,noon
932,lire,read
933,moyen,AVERAGE
934,ferait,would do
935,commandant,commanding officer
936,vraie,real
937,sept,seven
938,forme,shape
939,tombe,fall
940,silence,silence
941,connaître,to know
942,puisse,may
943,cadeau,gift
944,flics,cops
945,mer,sea
946,médecin,doctor
947,exact,exact
948,décidé,decided
949,moitié,half
950,surprise,surprise
951,avocat,lawyer
952,montre,watch
953,b,B
954,su,on
955,porter,to carry
956,télé,TV
957,vivant,alive
958,jure,sworn
959,disent,say
960,mr,MR
961,serez,will be
962,devriez,should
963,devenu,became
964,aimé,love
965,diable,devil
966,ligne,line
967,mission,assignment
968,suppose,Assumed
969,chacun,each
970,autour,around
971,pote,pal
972,grosse,fat
973,expliquer,explain
974,arrivée,arrival
975,monter,to go up
976,balle,ball
977,selon,according to
978,photos,Pictures
979,contrôle,control
980,prête,ready
981,anglais,English
982,sorti,got out
983,k,k
984,bons,good
985,disparu,disappeared
986,tenir,hold
987,simplement,simply
988,quitter,to leave
989,envoie,send
990,paul,Paul
991,aimer,to like
992,voie,way
993,paris,Paris
994,classe,class
995,huit,eight
996,offre,offer
997,poste,job
998,dangereux,dangerous
999,attaque,attack
1000,impression,impression
1001,folle,crazy
1002,michael,Michael
1003,mange,eat
1004,bravo,well done
1005,arrière,back
1006,amérique,America
1007,suivre,follow
1008,aille,go
1009,oublier,forget
1010,peuple,people
1011,baiser,kiss
1012,rencontré,encounter
1013,honte,shame
1014,connard,asshole
1015,trou,hole
1016,retourner,return
1017,chanson,song
1018,change,exchange
1019,arrêté,stopped
1020,enfer,hell
1021,écrire,to write
1022,livres,books
1023,habitude,habit
1024,réponse,answer
1025,david,David
1026,lieutenant,lieutenant
1027,savait,knew
1028,radio,radio
1029,tenez,hold
1030,bande,band
1031,bob,bob
1032,rend,renders
1033,compagnie,company
1034,connu,known
1035,secours,rescue
1036,danse,dance
1037,met,put
1038,vol,flight
1039,vit,lives
1040,conneries,bullshit
1041,aurez,will have
1042,imagine,conceived
1043,boîte,box
1044,joué,plays
1045,triste,sad
1046,sud,south
1047,lu,read
1048,tel,such
1049,merveilleux,wonderful
1050,pute,whore
1051,aie,Ouch
1052,ressemble,looks like
1053,coucher,to sleep
1054,ennuis,troubles
1055,volé,stolen
1056,sortie,exit
1057,devais,had to
1058,combat,fight
1059,bouche,mouth
1060,certain,certain
1061,visite,visit
1062,existe,exist
1063,retourne,return
1064,approche,approach
1065,pourtant,Yet
1066,plusieurs,several
1067,rire,laugh
1068,sergent,sergeant
1069,public,audience
